	상담사답변
5418	아니요,공공임대주택에 거주시 대출 불가입니다
5420	많이 비싸지 않아요 고객님 청년전세대금대출의 금리는 연1.2%입니다 
5422	네 대출 신청인및세대원 전원이 무주택자 일때 가능합니다
5424	네 신청인과 배우자의 소득이 5천만원 이하일때 가능하십니다
5426	대출한도는 7천만원 이하 입니다
5428	신분증,주민등록초본,주민등록등본,가족관계증명서 그리고 보혐자격득실 확인서 도 필요합니다
5430	네 감사합니다
5432	신용도,카드이용실적 등에 따라 상향가능금액이 결정됩니다
5436	홈페이지 이용시 로그인 하시고 이용한도 메뉴를 통해서 알아보실수 있습니다
5438	고객센터로 전화하셔서 알아볼수 있습니다
5440	근로소득원천징수영수증,사업소득원천징수영수증,소득금액증명서등이 있습니다
5442	서류 심사의 일정한 기준을 통과해야 상향받으실수 있습니다
5444	카드사에서 개개인별로 한도 상향이 가능 하다는 연락을 드립니다
5446	소득금액증가,산용등급 상승등이 중요합니다
5448	차량구입,병원,장례등 필요 시 한시적으로 한도증액 가능한 서비스입니다
5450	네 감사합니다
5456	네 그렇습니다
5458	금융권에서 책정하는 건물의 가격을 뜻합니다
5460	네, 공시,시가와 실거래가는 다른것입니다
5464	신분증, 등본, 인감증명서, 주택매매계약서, 등기부등본이 필요합니다.
5466	네.20세 이상 이면 가능 하십니다
5468	신용카드 사용 실적이나 보유하고 있는 차량,집으로 소득을 산정하여 대출을 이용할수 있습니다
5493	발행은 가능하십니다.
5498	출금하신 후 8천만원권으로 발행하여 드립니다.
5500	고액권 수표 발행시 저희 은행은 수수료 400원이 발생합니다.
5503	백만원권으로 발행해 가시면 됩니다.
5506	저희 은행은 자기앞수표로 500만원권은 발행되어 있지 않습니다.
5508	고객님 편한 방법으로 선택하시면 될 듯 합니다.
5515	고액권 수표는 자기앞수표가 아니므로 발행은행 지점으로 가시면 통장입금이 바로 되십니다.
5520	고액권은 오늘 입금하시면 익일 12시 30분이 지난후 현금인출가능하십니다.
5523	고액권을 발행한 은행에가서  자기앞수표로 교환받으시면 입금및 사용이 가능하십니다.
5526	본인 신분증 들고 발행지점 내방하시면 됩니다.
5528	일부은행에서는 수표발행지점과 수표지급지점이 다를수 있으니 전화확인 후 은행들러주세요
5538	지점가셔서 입금하실때 수표뒷면에 배서를 하셔야 합니다.
5540	수표뒷면에 입금하신분 이름과 전화번호 등 개인정보를 적는것을 말합니다.
5543	미리 적으셔도 됩니다.
5545	수표 일련번호가 차례대로 라면 첫장과 마지막장에만 배서하시면 됩니다.
5548	그러면 총 5장에 배서하셔야 합니다.
5554	자동이체는 일정기간동안 주기적으로 지정하신 계좌로 이체하실때 편리한 서비스입니다.
5564	자동이체 버튼 선택하시면됩니다.
5568	네. 지금까지 상담원 OOO였습니다.
5572	통장 출금 서비스만 신청하시면 가능합니다.
5574	가까운 영업점을 방문하셔서 신청해주시면 됩니다.
5578	네.감액만 가능합니다.
5580	신분증 지참후 가까운 영업점을 방문하셔야 합니다.
5584	네,가능합니다.
5586	영업점을 방문하시어 무매체 출금 서비스 신청 하신 후 이용이 가능합니다.
5588	네. 지금까지 상담원 OOO였습니다.
5594	당일 거래 내역이 거래내역 조회에 등록되는데 시간이 걸릴 수 있으므로 계좌이체의 이체결과 조회에서 확인하시기 바랍니다.
5600	네,인터넷뱅킹에서 이체 확인증을 받는방법 안내 도와드리겠습니다.
5602	 계좌이체의 이체결과조회 클릭하신 후 해당계좌를 조회하시면 이체 확인증 출력이 가능합니다.
5606	이체결과조회는 최장3년거래분만 가능합니다.
5609	네. 지금까지 상담원 OOO였습니다.
5612	당행은 무료이고, 타행은 건당 500원 입니다.
5616	마찬가지로 당행은 무료이고, 타행은 건당 500원 입니다.
5620	아닙니다. 자동이체의경우 당행은 무료이고, 타행은 건당 300원입니다.
5628	네. 지금까지 상담원 OOO였습니다.
5636	네. 이체한도 감액은 인터넷뱅킹에서 가능합니다.
5644	거기서 이체한도 금액정해서 하면 됩니다.
5648	네. 지금까지 상담원 OOO였습니다.
5652	가능합니다.
5664	이체한도 조회/감액 메뉴 누르시면 조회 가능합니다.
5668	네. 지금까지 상담원 OOO였습니다.
5672	대상 고객이 아니시네요. 죄송합니다. 
5674	현재 고객님은 예금,적금 담보대출만 가능합니다.
5678	아니요.불가능합니다.
5680	전세보증금을 담보로는 대출신청은 불가능합니다.
5684	담보예금금리 + 1.1%입니다.
5688	네. 지금까지 상담원 OOO였습니다.
5694	고객님  계좌가 출금계좌로 등록되어 있으면 됩니다.
5700	영업시간에 가능합니다.
5706	네,인터넷뱅킹으로 이용 가능하십니다.
5709	네. 지금까지 상담원 OOO였습니다.
5712	네,가능합니다.
5714	계좌가 출금계좌로 등록되어 있어야 합니다.
5720	24시간 가능합니다.
5726	네,인터넷뱅킹으로 이용 가능하십니다.
5729	네. 지금까지 상담원 OOO였습니다.
5732	고객님 가능합니다.
5734	아니요, 보내려는 계좌가 출금계좌로 등록되어 있어야 합니다.
5740	영업점 운영 시간만 이용 가능합니다.
5746	스마트 뱅킹 앱으로도 가능합니다.
5749	네. 지금까지 상담원 OOO였습니다.
5752	네,변경 가능하십니다.
5756	이체한도를 상향하고자 하시는 경우 영업점에 방문하셔서 이체한도변경을 신청하셔야 가능합니다.
5758	또한,기업인터넷뱅킹은 영업점에서 설정한 고객별 한도 내에서 인터넷뱅킹 로그인 후 환경설정을 통해 이용자 및 계좌별 한도 변경이 가능합니다.
5762	인터넷뱅킹에서 한번 이체 되신 금액은 예금주의 자금으로 귀속되기 때문에 취소가 불가능 합니다.
5764	상대 예금주에게 직접 청구 하시거나 고객센터 또는 가까운영업점에 방문하셔서 자금반환 청구절차를 진행하셔야 합니다.
5768	네. 지금까지 상담원 OOO였습니다.
5774	당일 거래 내역이 거래내역 조회에 등록되는데 시간이 걸릴 수 있으므로 계좌이체의 이체결과 조회에서 확인하시기 바랍니다.
5782	 계좌이체의 이체결과조회 클릭하신 후 해당계좌를 조회하시면 이체 확인증 출력이 가능합니다.
5786	이체결과조회는 최장 2년 6개월 전 거래분만 가능합니다.
5789	네. 지금까지 상담원 OOO였습니다.
5792	대포통장 근절대책의 일환으로 시행중인 제도때문입니다.
5794	장기미사용계좌 인출한도 하향제도입니다.
5796	1년간 자동화기기에서 입금,출금,이체 등의 거래를 하지 않는 계좌에 대하여 자동화기기 1일 인출한도가 6백만원에서70만원으로 하향되는 제도입니다.
5800	가까운 영업점을 본인이 방문하여 한도 복원 가능합니다
5804	1회 이체한도는 300만원 이하입니다.
5808	네. 지금까지 상담원 OOO였습니다.
5812	대포통장 근절대책의 일환으로 시행중인 제도때문입니다.
5814	장기미사용계좌 인출한도 하향제도입니다.
5816	1년간 자동화기기에서 입금,출금,이체 등의 거래를 하지 않는 계좌에 대하여 자동화기기 1일 인출한도가 6백만원에서70만원으로 하향되는 제도입니다.
5818	네 그렇습니다.,
5820	가까운 영업점을 본인이 방문하여 한도 복원 가능합니다
5824	1일 이체한도는 800만원 이하입니다.
5828	네. 지금까지 상담원 OOO였습니다.
5834	네,보안카드의경우 1회 한도 200만원까지 이체 가능합니다.
5836	네.있습니다.
5838	보안등급을 높이시면됩니다.
5840	네,OTP카드로 변경하면 됩니다.
5844	OTP카드를 이용하시면 1회 한도 3천까지 가능하십니다.
5848	네. 지금까지 상담원 OOO였습니다.
5852	확인 가능합니다.
5860	이체결과조회 메뉴를 클릭하시면 조회가능하십니다.
5864	죄송합니다. 전화로는 변경이 안됩니다
5866	직접 지점 방문하셔서 처리하셔야 합니다.
5868	네. 지금까지 상담원 OOO였습니다.
5872	네.가능합니다.
5884	그거 누르시면 결좌조회에 상세내역이 다 나옵니다.
5888	네. 지금까지 상담원 OOO였습니다.
5904	이체한도 조회/감액 메뉴 누르시면 조회 가능합니다.
5908	네. 지금까지 상담원 OOO였습니다.
5912	인터넷을 통하여 개인신용대출을 확인하는 방법 안내드리겠습니다.
5918	조금만 기다리면 결과가 문자로 올겁니다. 잠시만 기다리세요
5922	결제일자에 따른 이용주기 초일에 한도가 생성됩니다.
5924	인터넷뱅킹에서 현금서비스 이체시 본인의 신용카드 결제계좌에 입금됩니다.
5928	네. 지금까지 상담원 OOO였습니다.
5932	네, 가능합니다.
5934	아니요. 학자금대출은 불가능합니다.
5936	번거로우시겠지만영업점 방문해주셔야합니다.
5938	영업점 운영 시간만 이용 가능합니다.
5944	영업점을  통한  신청만 가능합니다.
5948	네. 지금까지 상담원 OOO였습니다.
5952	불편을 드려 죄송합니다.대포통장 근절대책의 일환으로 시행중인 제도때문입니다.
5954	아니요 장기미사용계좌 인출한도 하향제도입니다.
5956	1년간 자동화기기에서 입금,출금,이체 등의 거래를 하지 않는 계좌에 대하여 자동화기기 1일 인출한도가 6백만원에서70만원으로 하향되는 제도입니다.
5960	가까운 영업점을 본인이 방문하여 한도 복원 가능합니다
5964	1회 이체한도는 700만원입니다.
5968	네. 지금까지 상담원 OOO였습니다.
5974	보안카드의경우 1일 1천만원까지 이체 가능합니다.
5976	가능합니다.
5978	보안등급을 높이시면됩니다.
5980	네,OTP카드로 변경하면 가능합니다.
5984	OTP카드를 이용하시면 1일 1억까지 가능하십니다.
5988	네. 지금까지 상담원 OOO였습니다.
5995	네. 이체한도 감액은 인터넷뱅킹에서직접 가능합니다.
6003	이체한도 감액하시면됩니다.
6007	네. 지금까지 상담원 OOO였습니다.
6013	자동이체는 일정기간동안 주기적으로 지정하신 계좌로 이체하실때 편리한 서비스입니다.
6023	자동이체 버튼 선택하시면됩니다.
6027	네. 지금까지 상담원 OOO였습니다.
6031	 통장 출금 서비스를 신청하셔야 그런 업무를 할 수 있습니다.
6033	가까운 영업점을 방문하셔서 신청해주시면 됩니다.
6037	가능하시고 감액만 가능합니다.
6039	신분증 지참후 가까운 영업점을 방문하셔야 합니다.
6043	네,가능합니다.
6045	영업점을 방문하시어 무매체 출금 서비스 신청 하신 후 이용이 가능합니다.
6047	네. 지금까지 상담원 OOO였습니다.
6051	죄송하지만 그건 불가능합니다.
6053	출자금통장은 특성상 해지 전 출금이나 이체가 불가합니다.
6057	 불편드려 죄송합니다.이체 차단 기준 값은 출금계좌입니다
6059	계좌가 차단되었으므로  인터넷뱅킹, 스마트뱅킹, 텔레뱅킹 모두 사용할 수 없습니다.
6063	죄송하지만 그건 불가능합니다.
6067	네. 지금까지 상담원 OOO였습니다.
6071	네.가능합니다.
6077	원금상환 메뉴 선택하시고 진행하시면됩니다.
6081	 대출약정 체결시 선택한 다음날 마이너스 계좌에서 처리됩니다.
6083	출금되는 날짜 변경으로, 동일 금액을 사용하셨더라도 일수에 따라 출금되는 이자금액이 달라질 수 있습니다.
6087	네. 지금까지 상담원 OOO였습니다.
6091	인터넷을 통하여 개인신용대출을 확인 도와드리겠습니다
6097	그럼 심사후 개별로 결과 안내가 나갈갑니다.
6101	보통 3일이내 처리됩니다.
6103	인터넷뱅킹에서 현금서비스 이체시 본인의 신용카드 결제계좌에 입금됩니다.
6107	네. 지금까지 상담원 OOO이었습니다
6112	영업점 외부에 설치된 제휴기기에서는 해외송금,환율조회,하이패스카드 거래 등의 부가서비스는 지원되지 않습니다
6115	자동화기기의 운영 시간은 07:00~23:55이며,일부의 경우는 24시간 운영하는 기기도 있습니다
6117	같은 은행에서는 가능하나 다른경우는 불가능합니다
6119	1일 100만원 1회 100만원 한도 있습니다
6121	자동화 기기에서 통장이나 카드 없이 현금으로만 송금 할수 있는 서비스입니다
6123	네 그렇습니다
6125	신분증 지참하시고 가까운 영업점으로 방문하시면 됩니다
6127	1일 이용한도는90만원 입니다
6137	먼저 은행에 가셔서 계약서를 작성하셔야합니다
6139	전세보증금의 최대 80%까지 받을 수 있습니다
6141	네. 상품에 따라 차이가 있습니다. 현재 년2.3%~2.5% 정도의 금리로 대출이 가능합니다.
6143	계약서를 작성시 전세대출이 꼭 필요한 경우 임대차계약서 특약조건을 넣으셔야 합니다.
6145	네. 임대차계약서 특약조건에 전세자금 대출 실행이 불가 한 경우에는 이 건 계약을 무효로 하고 계약금을 반환하기로함 이라는 단서조항을 반드시 반영시켜야 합니다.
6151	네 인터넷으로 대출 상환가능합니다
6157	아래 상환 클릭하고 진행하면 됩니다.
6161	대출약정 체결시 선택한 다음날 마이너스 계좌에서 처리되세요
6163	출금되는 날짜 변경으로, 동일 금액을 사용하셨더라도 일수에 따라 출금되는 이자금액이 다를 수 있습니다
6167	네. 지금까지 상담원 000이었습니다
6170	네 가능합니다.
6174	네 가능합니다
6176	휴대폰 본인 확인과 생체 정보 등록이 필요합니다
6183	본인 명의 사용하시는걸 추천드립니다
6185	생체인증 서비스 등록은 1인1기기만 할 수 있습니다
6187	네 그렇습니다
6190	네 고객님, 담보 대출안내해 드리겠습니다.
6197	아파트 시세에 따라 다릅니다 보통 70%가능합니다
6199	이율 2%입니다
6201	최대 20년 가능합니다
6203	네 서류지참하시어 은행을 방문하셔야 합니다
6205	아파트 등기부등본, 고객님 신분증 가지고 오시면 됩니다
6211	죄송합니다만 ATM기나 인터넷 뱅킹에서 취소가 불가능 합니다
6213	받은 분이 동의하면 돌려받을 수 있습니다
6215	콜센터로 연락하셔서 자금반환거래요청 할 수 있습니다
6217	네, 받을 수 없습니다
6219	현재 규정상 그렇습니다
6221	아직 그런 제도가 없습니다
6223	죄송하지만, 개인정보는 말씀드릴 수 없습니다
6225	콜센터에서 바로 신청 할 수 있습니다
6227	OOOO-OOOO입니다.
6234	네. 직장이 있거나 수입이 있어야 대출할 수있습니다
6236	소득과 직업, 신용상태에 따라 한도가 다르세요
6239	그럼 필요서류를 지참하고 영업점을 방문하시면 됩니다
6241	신분증과 소득금액증명원이 있어야합니다
6243	제일 정확하게 아시려면 방문하시는게 좋습니다.
6245	평일 오전 9시부터 오후 4시까지 입니다
6247	점심시간은 12시부터 1시까지이지만 업무는 가능합니다
6250	자동이체 알려드리겠습니다.
6259	이체에서 자동이체 신청하는 부분이 있습니다
6267	해지누르면 처리 됩니다.
6270	네 이체 할 수 있습니다
6272	같은 은행에서 본인의 다른 계좌로 이체할때 할 수 있습니다
6274	본인 명의의 예금적금가입이나 본인의 계좌로 추가 입금할 경우 가능합니다
6277	네 같습니다.
6279	건당 원화 300만원 이하 금액으로 외화현찰로 환전할때도 생략됩니다.
6281	건당 300만원 이하로 납부시 가능합니다
6283	아파트관리비와 전기요금은 제외됩니다.
6286	네. 간편이체 가입고객은 타인계좌,타행계좌로 이체시에도 가능합니다
6289	네 대출 할 수 있습니다
6291	예금 잔액의 80% 이내로 할 수 있습니다
6293	1000만원 예금되어있어서 890만원가능합니다
6295	변동금리로3.5%정도 입니다
6299	300만원 이하일때와 이상일때가 필요한 서류가 다르세요
6301	300만원 이하일때는 신분증,통장,도장 만 있으면 됩니다
6305	인터넷뱅킹을 통한 거래가 1년간 없을 경우 금융서비스 이용이 중지됩니다
6308	두가지 방법이 있습니다
6312	네 가능합니다.
6316	전화로는 불가능합니다
6318	공인인증서가 등록되어 있으면 변경 가능합니다
6320	네 보안카드가 필요합니다
6323	네 출력 가능합니다
6326	죄송합니다. ATM에서는 따로 출력이 안됩니다
6328	인터넷뱅킹,스마트뱅킹 둘 다 가능합니다
6330	네 가능합니다
6332	로그인 후 이체-이체결과 조회에서 영수증 출력 할 수 있습니다
6334	네 가능합니다.
6336	개인신용카드로만 자동납부가 가능 합니다
6338	법인,체크,선불,기프트 는 제외 입니다'
6340	예.납부건수 제한 없이 여러 세대의 아파트 관리비를 자동납부 하실수 있습니다
6342	아니요, 아파트 관리비는 소득공제 대상에서 제외 됩니다
6344	아니요,다른 금융기관을 통한 자동납부 서비스를 이용 중인 경우,이중 납부를 방지하기 위해 해당 금융기관을 통해 서비스를 해지해 주시기 바랍니다
6346	홈페이지에서 전체메뉴,생활편의,생활요금납부,에서 아파트관리비로 이동 하시면 신청정보 조회 확인하실수 있습니다
6348	아니요,새로 발급받은 카드로 자동변경됩니다
6350	만약 자동 납부 중인 카드를 재발급 받은 후 해지 하실경우 본인 명의의 다른 카드로 자동납부 서비스를 재신청 하셔야 합니다
6354	감사합니다, 늘 행복한 미소가 가득하시길 바랍니다
6357	네, 고객님 가능합니다.
6363	이체 아래의 다계좌이체를 선택하세요.
6365	출금계좌를 선택하신 후, 출금계좌비밀번호를 누르시고 다음 화면에서 여러건의 이체를 등록하시면 됩니다.
6367	네, 그리고 나서 OTP로 인증하시고, 공인인증서로 인증하시면 등록하신 건이 모두 처리됩니다.
6369	최대 10건까지 한번에 이체 가능합니다.
6371	이체수수료는 기본적으로 건당 부과되므로, 고객님이 10건을 이체하시면 10건에 관해 부과됩니다.
6373	당행이체는 무료시고, 타행이체는 수수료 면제 대상인 고객만 면제됩니다.
6379	개인형퇴직연금제도란 취업자가 재직 중에 자율로 가입하거나 퇴직 또는 이직시 받은 퇴직급여를 계속해서 적립?운용할 수 있는 퇴직연금 제도입니다.
6381	퇴직급여에 가입된 개인으로 55세 이후에 퇴직하여 퇴직급여를 수령하였거나, 퇴직연금수급권으로 담보대출을 상환했거나 퇴직급여액이 300만원이 이하인 경우만 제외하면 가입하실 수 있습니다.
6383	종합소득금액 4천만원, 근로소득만 있는 경우 총급여 5천 5백만원 이하인 거주자에 한하여 상기 16.5% 세액공제, 그 외의 경우 13.2% 세액공제로 최대 92만 4천원의 절세효과를 누리실 수 있습니다. 
6386	운용수수료는 가입자 개인에게 부과됩니다.
6388	운영기간 중 발생하는 운영수익에 대해서는 과세 이연됩니다.
6390	퇴직급여 수급시까지 세금이 이연되어 퇴직급여를 받으실 때, 세금을 납부하면 되는 제도입니다.
6392	네, 퇴직금 재원으로 연금수령시 퇴직소득세가 30% 감면됩니다. 
6394	우선 개인형 IRP계좌를 만드시고 퇴직급여정보를 사전에 등록하시면 됩니다. 이후 본인의 퇴직급여를 이체하실 수 있습니다.
6399	네, 두가지 방법이 있습니다.
6407	거기서 등록내역을 선택하고 해지하고 싶으신 출금계좌번호를 선택하여 조회된 입금계좌를 선택한 후 해지버튼을 누르시면 등록됩니다.
6411	네, 그럼 지금은 결제일 이전이기 때문에 지금 해지 신청하시면 문제없습니다.
6413	네 그렇습니다.
6420	스마트폰 뱅킹앱이 깔려 있으면 가능합니다.
6426	그러면 불편하시더라도 다시 공인인증서나 지문인증을 등록해 주셔야 진행가능합니다.
6428	인터넷뱅킹 공인인증관리센터에서 스마트폰으로 내보내기를 하시면 스마트폰에 공인인증서를 불러올 수 있습니다.
6431	로그인 하시면 메뉴 중에 이체 메뉴를 찾을 수 있어요. 이체메뉴 아래 자동이체내역 조회/해지/변경을 선택해 주시면 됩니다.
6433	네, 출금예약일을 바꾸면 됩니다.
6437	당행은 고객님들의 실적에 따라 수수료 우대서비스를 드리고 있습니다.
6440	우선 고객님의 고객등급을 조회해 보겠습니다. 잠시만 기다려 주세요.
6442	고객님은 로얄스타 고객이십니다.
6444	우선 이체수수료는 모두 면제되십니다. 또한 외환송금 수수로는 50% 우대해 드리고, 환전시 0.3% 우대해 드립니다
6446	네, 맞습니다. 이체수수료는 폰뱅킹, 인터넷뱅킹, 스마트폰뱅킹, 자동화기기에서 모두 면제됩니다. 
6450	로얄스타 윗 등급은 MVP등급으로 로얄스타 등급과 유사하며 추가로 외화송금수수료가 면제되고, 대여금고를 무료로 사용하실 수 있습니다.
6452	네, 인터넷이나 스마트폰 뱅킹 접속시 확인 가능합니다.
6456	네, 자주쓰는 계좌를 등록하시면 이체시에 입금계좌번호 입력없이 편리하게 이용하실 수 있습니다.
6459	네, 그럼 인터넷 뱅킹으로 자주쓰는 계좌를 등록하는 방법을 안내해 드리겠습니다.
6461	인터넷뱅킹 내 뱅킹관리 메뉴 아래의 이체관리 메뉴에서 등록하시면 됩니다.
6463	받는분 명의로 구별이 되고, 계좌별명을 설정해 두시면 더 편리하게 이용할 수 있습니다.
6465	네, 물론입니다. 당행, 타행 구별없이 등록이 되고, 그룹관리도 하실 수 있습니다.
6467	인터넷 뱅킹 해당 메뉴 안에 계좌순서변경이라는 메뉴가 있습니다. 계좌순서를 편리하게 변경해서 사용하실 수 있습니다.
6469	네, 인터넷뱅킹에 등록해 두시면 스마트폰뱅킹에도 불러오실 수 있습니다.
6472	네, 수정이나 삭제버튼을 클릭하시면 한번에 편집이 가능합니다.
6478	자주 이용하시는 이체내용을 등록하시면 출금 및 입금 계좌번호, 이체금액 입력 없이 간편하게 이용하실 수 있습니다.
6480	네, 그렇습니다. 매월 또는 매주 동일한 금액을 같은 수신인에게 보내는 경우에 여기에 저장해 두시면 이체시 정보를 일ㅇ리히 다 기입하지 않으셔도 불러오기를 하면 편리하게 처리하실 수 있는 기능입니다.
6482	그런 경우에는 단축이체에 등록하지 말고, 자동이체에 등록하시면 됩니다.
6485	네, 입력하신 건을 수정해 주시면 됩니다.
6487	최대 15건까지 등록이 가능하시고, 이체금액은 1회 이체한도를 초과하지 않는 범위안에서 가능합니다.
6491	네, 가능합니다.
6493	혹시, 등록하신 계좌를 해약하신 경우 등록내역이 자동 삭제되지 않으므로 등록내역을 삭제하신 후 이용하시기 바랍니다.
6496	장기미사용 계좌의 경우 이체제한이 될 수 있습니다.
6498	12개월이상 이체성거래 이용실적이 없는 경우 장기미사용으로 거래가 제한됩니다.
6502	당/타행 및 외화 자동이체 거래는 이체성 거래 이용실적에 반영되지 않습니다.
6504	말씀해 주신 계좌는 자동이체 거래 외에는 12개월 이상 일체의 거래가 없어서 이체가 제한된 것입니다.
6506	일단 영업점에 오셔서 거래를 다시 시작하도록 신청해 주세요.
6509	고객님, 이체 제한이 안 되도록 하려면, 적은 돈이라도 한번씩 계좌간 이체를 해 주시는 것이 안전합니다.
6512	네, 그렇습니다. 
6513	오랫동안 미사용인 경우, 입출금이 자유로운 예금약관에 따라 계좌개설 등의 금융거래가 제한될 수 있으니, 빠른 시일내에 방문하셔서 계좌를 활성화 시키는 것이 좋겠습니다.
6516	네, 고객님이 계좌 개설하실 때 설정해 두신 이체 한도가 적용됩니다.
6519	인터넷 뱅킹에 접속하시거나, 영업점에 방문하셔서 확인하시면 됩니다.
6521	네, 인터넷 뱅킹 내 뱅킹관리 메뉴에서 확인 가능합니다.
6525	아니요. 해당메뉴에서는 감액만 가능합니다.
6527	이체한도 증액은 가까운 영업점 또는 스마트폰 앱에서 가능합니다. 앱에서 [전체메뉴 > 스타샷 > 변경/신고/재발급 > 변경/등록 > 이체한도]에서 가능합니다.
6531	보안카드 이용고객의 경우 1회 1000만원까지만 설정됩니다.
6533	OTP를 발급받으시면 최대 5억까지 이체 한도를 증액하실 수 있습니다.
6535	네, 공과금 이체등록 가능합니다.
6537	전화요금, 전기요금, 건강보험, 교통범칙금 등 등록 가능합니다.
6540	지방세, 통합세외수입, 환경개선부담금, 상하수도요금의 전국수납이 가능함에 따라 등록가능합니다.
6542	아니요, 등록만 한 경우에는 직접 인터넷 뱅킹이나 스마트폰 뱅킹에서 납부 처리를 해 주셔야 합니다.
6545	있습니다. 예약납부등록을 하시면 됩니다.
6547	공과금 관리에서 예약납부를 등록해 두시면 됩니다. 
6549	예약납부등록서비스는 납부자가 등록한 납부지정일에 납부금액이 출금되는 서비스인데, 납부지정일 직전 영업일 18시 고지기준으로 출금됩니다.
6551	등록된 예약납부내역을 은행창구 또는 전자납부하시는 경우 이중 납부될 수 있습니다.
6553	이중 납부시 은행에서 취소가 불가능하고, 해당기관에 요청하셔서 환불받으셔야 하므로 주의하시기 바랍니다.
6557	ATM 기기에 당행카드를 투입후 타행이체를 선택하시면 됩니다. 
6559	네, 가능합니다.
6561	네, 타행이체 메뉴를 선택한 후, 현금을 ATM기기에 투입하시면 됩니다.
6563	ATM기기는 아침 7시부터 운영되므로, 7시부터 사용가능합니다.
6565	네, 이체한도는 1일 600만원입니다.
6567	인터넷 뱅킹이나 폰뱅킹을 사용하시면 개인이 설정해 둔 한도내에서 이체가 가능합니다.
6569	신분증 지참하시고 가까운 영업점으로 방문하시면 됩니다
6573	네, 가까운 영업점은 OOO점입니다.
6575	네, 가능합니다. 스마트폰뱅킹을 설치하신 후, 공인인증서나 지문인증으로 로그인하신 후 이체하시면 됩니다.
6577	스마트폰뱅킹으로 지문을 등록하시면 됩니다.
6581	앱스토에서 OO은행스마트폰뱅킹 앱을 까신후, 지문 정보를 등록을 해 주시면 됩니다. 
6583	본인 휴대폰 번호 인증만 하시면, 별도로 필요한 것은 없습니다.
6585	네, 본인 명의만 가능하십니다.
6589	네, 휴대폰번호 1개당 1명만 생체인증 서비스에 등록하실 수 있습니다. 
6591	네 그렇습니다
6593	신분증과 휴대폰만 있으시면 됩니다.
6595	죄송하지만, 인터넷 뱅킹에서는 취소하실 수 없습니다.
6598	예금주가 초과 송금한 금액 반환에 대하여 동의하면, 돌려받을 수 있습니다
6600	은행 콜센터로 연락하셔서 자금반환거래요청 할 수 있습니다.
6602	그런 경우에는, 원칙적으로 돌려받으실 수 없습니다.
6604	현재 법규상 그렇습니다.
6606	네, 고객님 아직 그런 제도가 마련되어 있지 않습니다.
6608	개인정보는 말씀드릴 수 없습니다. 
6610	콜센터에서 바로 신청 할 수 있습니다
6612	OOOO-OOOO입니다.
6617	최근 1년간 인터넷뱅킹 거래를 하지 않으면, 고객 안전을 위해 이체서비스가 일시 중지됩니다. 
6620	인터넷 뱅킹에 로그인 하시고, 이체서비스에 가서 사용자 인증을 하시면 됩니다.
6623	영업점에 방문하셔서 인터넷 뱅킹 이체서비스를 활성화 시켜 주시면 됩니다.
6626	신분증 지참하고 방문하시면 됩니다.
6628	죄송하지만, 인터넷으로 인증하시거나 영업점에 방문해 주시는 방법밖에 없습니다.
6630	영업점에 오셔서 OTP카드를 발급받으세요. 이제 보안카드는 발급하지 않고 있습니다.
6635	인터넷 뱅킹으로 가능하십니다.
6638	인터넷 뱅킹에서 생활요금 메뉴로 가시면 아파트 관리비 메뉴가 있어요. 여기에 등록하시면 됩니다.
6640	네, 자동이체해 두시면 매월말에 이체됩니다.
6648	아파트를 검색하셔서 등록하시면 됩니다.
6651	네, 지로/생활요금 메뉴 아래 자동납부 등록/해지를 선택하시면 해지도 가능합니다.
6653	네, 그렇습니다.
6657	당행이체시 무료이고, 타행이체시 수수료가 발생합니다.
6658	타행은 건당 0000원입니다
6660	네, 타행이체의 경우, 건당 부과됩니다.
6662	고객등급 로얄스타 이상이시면 면제됩니다.
6664	인터넷 홈페이지에 들어가시면 고객등급 분류기준이 나옵니다. 해당 링크를 보내드릴께요.
6667	인터넷뱅킹이나 스마트폰뱅킹 화면에 접속하시면 상단에서 고객님의 등급을 확인하실 수 있습니다.
6670	6개월에 한번씩 실적에 따라 업데이트 됩니다.
6672	문자 알림 서비스를 등록하시면 가능합니다.
6674	네 인터넷뱅킹에서 출력가능합니다.
6676	ATM 기기에서는 이체후 자동 출력됩니다.
6678	인터넷뱅킹,스마트뱅킹에서 문자 보내기 메뉴를 선택하시면 문자로 상대방에게 이체한 사실을 알릴 수 있습니다. 
6680	네 가능합니다
6682	이체결과확인에서 문자보내기를 선택하고 상대방의 번호를 입력하시면 됩니다. 
6688	최근 이체결과가 보이면 우측에서 문자알림을 선택하시고 번호를 입력하시면 됩니다.
6690	영수증은 보낼 수 없고, 이체사실만 문자로 상대에게 알리실 수 있습니다. 
6692	영수증을 파일로 저장하신 후, 상대방에게 이메일을 통해 전송하시면 됩니다.
6694	네, 이체한도를 확인해 드리겠습니다.
6697	OTP 소지고객의 경우 1회 최대 이체한도는 1억원입니다.
6699	고객님의 1일 이체한도는 2억원입니다.
6703	네, 그러면 접속하셔서 이체한도 조회/감액 메뉴를 선택하시면 됩니다.
6706	한도 증액의 경우에는 영업점을 방문해서 1일 이체한도 증액신청을 하시면 됩니다.
6709	네, 1일 이체한도 내에서 1회 이체한도만 증액하시는 경우에는 인터넷으로 하실 수 있습니다.
